,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
point diff Playoff Accuracy,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.6153846153846154,0.6153846153846154,0.7692307692307693
point diff LinReg Playoff RMSE,15.129902946664162,10.834084099055218,13.289845927942297,13.359429033549787,15.541676090146487,11.634466301741288,14.716725492372623,11.001173212517212,14.896555744386363,12.428301817811953,15.499316845969105,11.384117513679957,11.642014389583977,9.615317447358438,12.443942443976137,10.97930464191906,11.235748069960685,12.171425718298137
point diff LinReg RegSzn RMSE,11.561336208020695,12.031290459775596,11.809974777388902,12.322356242675042,12.99981921479539,12.443284484708181,12.195051017291878,12.38600877959098,11.00274146276664,13.159367819089857,11.270843322235402,10.56260071952144,11.968920202437216,11.837534347678625,11.68827012106251,11.497191851342624,12.5317314111864,10.420444129411209
point ratio Playoff Accuracy,0.6363636363636364,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.6363636363636364,0.36363636363636365,0.5454545454545454,0.6153846153846154,0.5384615384615384,0.6923076923076923
point ratio LinReg Playoff RMSE,15.258685206344353,10.704990551655573,11.168002522993774,12.519067434495517,16.337739246962915,11.274644125806883,14.40660014267785,10.3879693840698,13.722398623653847,13.024612263543334,14.84820376314822,12.292810752228203,13.069576122257253,9.724207837867874,12.70139473891617,11.420113768174142,11.77462393333198,13.070133874739163
point ratio LinReg RegSzn RMSE,11.690904378120374,12.211208295696313,11.885474903662203,12.49359660753542,13.079964848766162,12.520972342877027,12.34858280540678,12.439276993212681,11.136141938523204,13.246348839113951,11.36879235362249,10.622009528193185,12.059992594985145,11.898782293504762,11.774329619227299,11.568850900952565,12.823259770607004,10.576948660114068
pythagorean point ratio Playoff Accuracy,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.7692307692307693,0.46153846153846156,0.7692307692307693
pythagorean point ratio LinReg Playoff RMSE,15.677893203163492,10.4071154310873,11.26719205584581,12.302457854182006,15.983382249490997,11.255272973273138,14.579895474920502,10.535599789467975,14.054002988190039,13.399529729693414,14.497796253222862,12.28870165126504,12.736143608804483,9.715835872082828,12.39070395404488,10.875246037274193,11.350749640771364,12.411737035465901
pythagorean point ratio LinReg RegSzn RMSE,11.681366385942727,12.171960827923238,11.832435690555743,12.471426299085971,13.042264123308387,12.48543877416505,12.320146455484231,12.440982760392535,11.102815258124114,13.226306296841408,11.342981898982382,10.625851027376779,12.055606205413547,11.886713846351691,11.762802342947326,11.542957074528058,12.707311223242709,10.495333782171867
dsr Playoff Accuracy,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.8181818181818182,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.6923076923076923,0.6153846153846154,0.8461538461538461
